sale_id,sale_date,delivery_type,discount_amount,customer_id,employee_id
1,2026-03-12,Pickup,0.0,5,39
2,2026-01-01,Pickup,0.0,48,27
3,2025-12-23,Pickup,0.0,47,29
4,2026-04-28,Pickup,0.0,47,12
5,2026-02-07,Delivery,0.0,7,46
6,2026-01-06,Delivery,0.0,4,18
7,2026-03-06,Delivery,0.0,38,7
8,2025-12-01,Pickup,0.0,28,24
9,2026-04-01,Pickup,108.28,24,8
10,2026-02-09,Delivery,0.0,6,43
11,2026-05-02,Delivery,0.0,24,9
12,2026-05-02,Pickup,54.3,36,14
13,2025-12-31,Delivery,0.0,34,25
14,2025-11-17,Pickup,53.12,10,7
15,2026-01-20,Delivery,0.0,56,28
16,2025-12-22,Delivery,0.0,26,44
17,2026-02-09,Delivery,0.0,2,7
18,2026-02-26,Pickup,0.0,47,36
19,2026-04-06,Delivery,0.0,39,15
20,2026-02-09,Delivery,3.41,53,22
21,2026-01-15,Delivery,89.16,53,13
22,2025-11-26,Delivery,0.0,11,22
23,2025-11-17,Delivery,32.77,60,42
24,2025-12-25,Pickup,125.44,9,20
25,2026-02-28,Pickup,0.0,7,17
26,2025-12-14,Delivery,198.83,53,29
27,2025-11-22,Delivery,0.0,43,25
28,2026-02-11,Pickup,0.0,30,35
29,2026-01-27,Delivery,0.0,11,45
30,2026-02-01,Delivery,0.0,53,30
31,2026-04-17,Pickup,0.0,25,40
32,2026-01-28,Pickup,0.0,11,3
33,2025-12-19,Delivery,107.34,31,5
34,2026-04-10,Pickup,0.0,19,7
35,2026-04-04,Pickup,190.36,51,40
36,2026-04-11,Pickup,0.0,51,29
37,2026-01-07,Delivery,113.28,7,22
38,2026-04-25,Delivery,0.0,8,22
39,2025-12-06,Delivery,167.65,27,18
40,2026-02-06,Delivery,0.0,54,31
41,2026-04-07,Pickup,0.0,41,28
42,2026-04-28,Pickup,0.0,5,21
43,2026-04-23,Delivery,151.22,25,35
44,2026-02-01,Delivery,61.85,2,28
45,2026-01-21,Delivery,75.98,58,41
46,2025-12-28,Pickup,0.0,10,32
47,2025-12-28,Delivery,0.0,55,26
48,2026-04-29,Pickup,0.0,13,29
49,2026-05-08,Pickup,0.0,7,20
50,2025-11-18,Delivery,0.0,39,3
51,2026-01-15,Pickup,0.0,59,29
52,2026-04-19,Delivery,67.85,60,35
53,2025-11-21,Pickup,0.0,35,8
54,2026-02-04,Delivery,0.0,60,47
55,2025-11-19,Delivery,0.0,21,24
56,2026-01-20,Delivery,139.94,36,22
57,2025-12-09,Pickup,0.0,28,50
58,2025-11-15,Pickup,0.0,1,43
59,2026-03-01,Delivery,0.0,53,37
60,2026-05-04,Delivery,0.0,19,47
61,2025-12-15,Pickup,0.0,24,27
62,2026-05-02,Pickup,114.21,33,2
63,2026-02-11,Pickup,0.0,26,31
64,2026-03-20,Pickup,0.0,31,10
65,2026-01-28,Pickup,0.0,25,20
66,2026-04-24,Pickup,0.0,46,9
67,2026-01-06,Pickup,0.0,41,26
68,2026-01-31,Delivery,0.0,37,20
69,2026-02-16,Pickup,0.0,14,48
70,2026-03-12,Delivery,0.0,21,25
71,2026-03-11,Pickup,0.0,58,39
72,2026-01-06,Delivery,0.0,4,43
73,2026-03-07,Delivery,0.0,13,10
74,2026-01-12,Delivery,0.0,55,8
75,2026-02-04,Pickup,26.24,9,26
76,2026-04-16,Pickup,0.0,52,10
77,2025-11-24,Delivery,0.0,2,1
78,2026-02-23,Delivery,79.34,12,42
79,2026-04-13,Delivery,0.0,52,33
80,2026-02-11,Pickup,0.0,56,37
81,2025-11-20,Delivery,0.0,30,46
82,2026-01-24,Pickup,0.0,30,18
83,2026-01-14,Delivery,0.0,35,13
84,2026-04-01,Delivery,0.0,5,48
85,2026-05-09,Delivery,0.0,11,4
86,2026-02-24,Pickup,0.0,59,33
87,2026-03-26,Delivery,76.17,43,10
88,2026-01-31,Delivery,0.0,33,27
89,2026-04-04,Delivery,74.14,1,2
90,2026-01-24,Pickup,0.0,17,43
91,2026-01-02,Pickup,0.0,13,11
92,2026-02-03,Delivery,0.0,58,5
93,2026-04-17,Delivery,0.0,49,36
94,2026-04-27,Pickup,0.0,15,26
95,2026-03-27,Pickup,0.0,49,4
96,2026-01-14,Delivery,0.0,52,9
97,2026-05-04,Delivery,196.63,33,12
98,2026-05-05,Delivery,0.0,38,2
99,2026-03-08,Delivery,0.0,8,33
100,2025-12-05,Pickup,0.0,24,26
101,2026-04-20,Delivery,90.52,7,12
102,2026-04-30,Pickup,0.0,57,13
103,2025-11-17,Pickup,165.05,60,6
104,2026-04-09,Pickup,0.0,50,15
105,2026-02-24,Delivery,0.0,32,43
106,2026-02-19,Delivery,0.0,38,50
107,2026-01-13,Delivery,0.0,11,22
108,2026-02-20,Delivery,180.85,46,50
109,2026-04-24,Delivery,0.0,53,13
110,2026-03-22,Delivery,0.0,57,8
111,2025-11-23,Pickup,97.81,49,21
112,2025-12-15,Pickup,0.0,29,41
113,2026-04-25,Pickup,0.0,23,46
114,2025-11-20,Delivery,0.0,58,37
115,2026-02-23,Pickup,0.0,33,10
116,2026-03-27,Delivery,0.0,35,22
117,2026-03-17,Pickup,0.0,34,34
118,2025-12-24,Delivery,0.0,6,47
