sale_item_id,quantity,unit_price,sale_id,product_id
1,3,970.35,1,12
2,12,884.18,1,53
3,1,503.53,2,6
4,5,790.91,2,15
5,6,889.24,2,63
6,13,333.39,2,59
7,1,398.32,3,2
8,2,668.09,3,22
9,1,131.98,3,79
10,8,303.17,4,82
11,6,262.4,4,3
12,6,245.23,5,34
13,13,454.62,5,67
14,10,540.09,5,60
15,1,541.53,5,54
16,12,304.33,5,13
17,15,837.57,6,51
18,12,660.54,6,64
19,1,145.56,6,80
20,15,886.03,6,21
21,7,288.39,6,73
22,2,331.1,7,49
23,15,124.33,7,56
24,6,507.2,7,93
25,10,810.42,7,35
26,13,283.02,8,26
27,3,556.44,9,61
28,2,269.62,10,52
29,10,478.52,10,24
30,2,889.24,10,63
31,15,329.27,10,27
32,3,541.53,11,54
33,7,660.87,11,96
34,2,507.2,11,93
35,5,171.46,12,70
36,5,478.52,13,24
37,6,897.18,13,42
38,12,304.33,13,13
39,10,549.99,13,85
40,15,540.09,14,60
41,15,503.53,14,6
42,15,128.38,14,48
43,3,884.18,14,53
44,10,533.55,15,38
45,2,303.17,15,82
46,15,560.5,15,83
47,13,660.87,15,96
48,13,128.38,15,48
49,6,747.74,16,33
50,11,304.33,16,13
51,10,546.96,16,78
52,3,269.62,16,52
53,9,495.88,16,90
54,5,540.09,17,60
55,14,288.39,18,73
56,14,365.45,18,29
57,3,131.98,18,79
58,7,478.52,19,24
59,6,897.18,19,42
60,15,922.5,19,72
61,14,454.45,19,95
62,1,465.07,20,66
63,11,509.3,20,57
64,5,540.09,20,60
65,1,283.02,20,26
66,14,180.21,21,58
67,5,171.46,21,70
68,15,391.54,21,18
69,15,203.73,22,16
70,12,145.56,23,80
71,15,422.72,24,69
72,1,212.71,24,92
73,5,546.96,25,78
74,14,672.62,25,88
75,7,475.23,25,44
76,13,128.38,26,48
77,11,245.23,26,34
78,13,860.62,26,17
79,6,131.98,27,79
80,15,568.84,27,5
81,12,844.38,28,81
82,14,262.4,29,3
83,14,445.05,29,11
84,13,598.15,29,94
85,7,242.64,29,23
86,4,212.71,29,92
87,14,445.05,30,11
88,10,660.87,30,96
89,4,391.54,31,18
90,5,540.09,31,60
91,9,801.07,32,47
92,13,668.09,32,22
93,13,884.18,32,53
94,12,897.18,32,42
95,13,897.18,33,42
96,15,515.79,33,89
97,5,230.67,34,55
98,2,365.45,34,29
99,3,533.55,35,38
100,12,668.09,35,22
101,13,541.53,35,54
102,12,540.93,35,25
103,6,445.05,36,11
104,8,871.09,36,68
105,7,345.61,36,4
106,14,288.39,36,73
107,13,229.96,37,91
108,9,488.37,37,10
109,5,152.29,38,7
110,9,886.03,38,21
111,15,805.8,39,30
112,1,262.4,40,3
113,10,454.62,40,67
114,11,668.09,40,22
115,5,478.52,41,24
116,12,242.64,41,23
117,12,790.91,42,15
118,3,884.18,43,53
119,10,345.61,43,4
120,10,230.67,43,55
121,1,660.54,44,64
122,14,922.5,44,72
123,3,779.51,45,36
124,14,844.38,45,81
125,11,303.17,45,82
126,15,541.53,45,54
127,11,540.09,46,60
128,12,889.24,46,63
129,5,515.79,46,89
130,8,925.8,46,75
131,6,229.96,47,91
132,13,475.23,47,44
133,11,288.39,48,73
134,13,568.84,48,5
135,14,345.61,48,4
136,2,465.07,49,66
137,4,609.71,49,1
138,15,303.17,49,82
139,9,860.62,49,17
140,9,274.82,50,46
141,4,342.74,50,71
142,5,871.09,50,68
143,3,801.07,50,47
144,3,768.3,51,9
145,1,128.38,51,48
146,3,871.09,52,68
147,5,668.09,52,22
148,12,180.21,53,58
149,12,768.3,54,9
150,15,790.91,55,15
151,6,391.54,55,18
152,14,515.79,55,89
153,2,430.04,55,40
154,2,507.2,56,93
155,12,430.04,56,40
156,15,124.33,56,56
157,5,488.37,56,10
158,10,445.05,57,11
159,8,970.35,58,12
160,5,897.18,58,42
161,3,203.73,59,16
162,5,274.82,59,46
163,7,626.67,59,45
164,3,145.56,59,80
165,10,622.98,60,28
166,8,371.87,61,43
167,2,478.52,61,24
168,14,925.8,61,75
169,7,128.38,62,48
170,2,503.53,62,6
171,15,430.04,62,40
172,12,450.86,63,41
173,10,212.71,63,92
174,8,925.8,64,75
175,7,260.66,64,65
176,9,970.35,64,12
177,8,622.98,64,28
178,6,560.5,64,83
179,7,889.24,65,63
180,8,454.62,65,67
181,6,805.8,65,30
182,10,540.09,66,60
183,1,212.71,66,92
184,10,180.21,66,58
185,12,598.15,66,94
186,9,145.56,67,80
187,4,242.64,67,23
188,10,288.39,67,73
189,3,245.23,67,34
190,12,711.43,68,20
191,14,274.82,68,46
192,14,282.29,68,50
193,14,229.96,68,91
194,11,450.86,68,41
195,10,398.32,69,2
196,10,507.2,69,93
197,3,160.32,69,31
198,5,711.43,69,20
199,9,889.24,69,63
200,12,282.29,70,50
201,2,398.32,70,2
202,1,307.93,70,14
203,6,546.96,70,78
204,3,860.62,71,17
205,3,445.05,71,11
206,8,747.74,72,33
207,15,160.32,72,31
208,5,303.17,72,82
209,15,672.62,73,88
210,7,465.07,74,66
211,7,450.86,75,41
212,15,124.33,75,56
213,4,242.64,75,23
214,9,262.4,75,3
215,9,507.2,76,93
216,10,546.96,76,78
217,12,371.87,76,43
218,9,970.35,77,12
219,10,546.96,77,78
220,6,660.54,77,64
221,14,871.09,77,68
222,4,747.74,78,33
223,3,333.39,78,59
224,6,609.71,79,1
225,4,651.75,79,62
226,7,488.37,79,10
227,14,871.09,79,68
228,13,515.79,80,89
229,1,925.8,80,75
230,14,307.93,80,14
231,15,342.74,80,71
232,12,229.96,80,91
233,9,609.71,81,1
234,11,837.57,81,51
235,15,805.8,81,30
236,8,160.32,81,31
237,14,922.5,81,72
238,4,450.86,82,41
239,9,657.55,82,86
240,4,507.2,82,93
241,2,711.43,82,20
242,5,805.8,83,30
243,2,371.87,84,43
244,9,507.2,84,93
245,8,365.45,85,29
246,10,229.96,85,91
247,11,454.62,85,67
248,3,651.75,86,62
249,11,495.88,86,90
250,5,515.79,86,89
251,10,609.71,86,1
252,11,212.71,87,92
253,3,345.61,87,4
254,9,398.32,87,2
255,14,660.54,87,64
256,14,230.67,87,55
257,15,145.56,88,80
258,4,454.45,88,95
259,1,475.23,88,44
260,13,282.29,88,50
261,15,515.79,89,89
262,5,235.62,90,84
263,3,454.62,90,67
264,3,568.84,90,5
265,9,229.96,90,91
266,5,609.71,91,1
267,15,307.93,91,14
268,10,179.85,91,76
269,10,507.2,91,93
270,11,970.35,92,12
271,4,810.42,92,35
272,8,274.82,92,46
273,11,282.29,92,50
274,11,503.53,93,6
275,13,889.38,94,39
276,2,288.39,94,73
277,5,560.5,95,83
278,13,801.07,95,47
279,10,503.53,95,6
280,14,790.91,95,15
281,10,509.3,96,57
282,9,391.54,97,18
283,14,560.5,97,83
284,2,468.83,97,32
285,7,472.05,98,37
286,10,331.1,98,49
287,5,152.29,99,7
288,10,541.53,99,54
289,15,886.03,99,21
290,2,282.29,99,50
291,9,262.4,99,3
292,1,660.87,100,96
293,8,245.23,100,34
294,10,288.39,100,73
295,7,468.83,100,32
296,10,230.67,100,55
297,2,422.72,101,69
298,15,230.67,101,55
299,12,160.32,101,31
300,8,171.46,102,70
301,5,488.37,102,10
302,12,454.45,102,95
303,12,515.79,103,89
304,6,747.74,104,33
305,8,651.75,104,62
306,6,503.53,104,6
307,5,472.05,105,37
308,15,260.66,105,65
309,14,230.67,105,55
310,8,540.09,105,60
311,3,507.2,105,93
312,6,179.85,106,76
313,6,711.43,107,20
314,15,124.33,107,56
315,12,282.29,108,50
316,15,242.64,108,23
317,7,897.18,108,42
318,2,160.32,109,31
319,7,304.33,109,13
320,7,430.04,109,40
321,15,884.18,109,53
322,5,598.15,109,94
323,9,889.24,110,63
324,13,884.18,110,53
325,5,450.86,110,41
326,14,546.96,111,78
327,6,179.85,111,76
328,13,422.72,112,69
329,13,445.05,112,11
330,11,131.98,113,79
331,1,450.86,114,41
332,5,145.56,115,80
333,3,274.82,115,46
334,1,365.45,115,29
335,5,626.67,116,45
336,5,274.82,116,46
337,14,283.02,116,26
338,6,345.61,116,4
339,2,922.5,117,72
340,10,925.8,117,75
341,8,230.67,117,55
342,6,507.2,118,93
343,5,345.61,118,4
344,12,212.71,118,92
345,1,450.86,118,41
346,10,129.63,118,74
347,3,747.74,119,33
348,9,626.67,119,45
349,6,509.3,119,57
350,13,131.98,120,79
351,4,229.96,120,91
352,1,889.38,120,39
353,11,245.23,121,34
354,8,454.45,121,95
355,8,260.66,122,65
356,10,283.02,122,26
357,3,657.55,122,86
358,4,556.44,122,61
359,10,229.96,123,91
360,4,304.33,123,13
361,4,203.73,123,16
362,7,568.84,123,5
363,2,242.64,124,23
364,5,503.53,124,6
365,5,472.05,124,37
366,4,884.18,124,53
367,12,488.37,125,10
368,9,922.5,125,72
369,11,333.39,125,59
370,12,540.09,126,60
371,10,810.42,127,35
372,1,230.67,127,55
373,1,889.38,127,39
374,1,262.76,128,19
375,15,145.56,128,80
376,3,925.8,129,75
377,3,507.2,129,93
378,4,131.98,129,79
379,15,450.86,129,41
380,9,196.91,129,87
381,15,145.56,130,80
